* R. M. Pope and E. S. Fry, "Absorption spectrum (380*700nm) of pure
* water. II. Integrating cavity measurements," Appl. Opt., 36, 8710--8723,
* (1997).
* 
* lambda   absorption
*  (nm)      (1/cm)
196.710007   0.047979
 196.690002   0.038278
 196.669998   0.028861
 197.220001   0.019994
 198.360001   0.013091
 199.699997   0.009328
 200.470001   0.007442
 201.429993   0.006108
 203.160004   0.004477
 205.289993   0.003674
 206.460007   0.003472
 209.179993   0.002931
 211.520004   0.002545
 213.470001   0.002474
 215.419998   0.002339
 217.360001   0.002089
 219.500000   0.001866
 221.639999   0.001763
 223.589996   0.001620
 227.100006   0.001488
 229.830002   0.001368
 232.360001   0.001256
 233.729996   0.001222
 235.679993   0.001154
 237.820007   0.001061
 240.750000   0.001061
 242.699997   0.000975
 245.039993   0.000921
 247.380005   0.000921
 249.720001   0.000870
 251.270004   0.000777
 253.229996   0.000777
 255.570007   0.000735
 258.299988   0.000694
 260.640015   0.000675
 263.760010   0.000638
 266.290009   0.000570
 269.019989   0.000539
 272.140015   0.000509
 274.480011   0.000481
 276.820007   0.000455
 279.160004   0.000430
 281.510010   0.000418
 283.459991   0.000406
 286.579987   0.000384
 290.290009   0.000363
 293.609985   0.000353
 296.519989   0.000298
 300.029999   0.000266
 303.350006   0.000266
 308.029999   0.000244
 312.140015   0.000266
 315.649994   0.000231
 319.559998   0.000231
 323.850006   0.000212
324	0.000211737
325	0.000209987
326	0.000208236
327	0.000206485
328	0.000204735
329	0.000202984
330	0.000201233
331	0.000199483
332	0.000197732
333	0.000195981
334	0.000194231
335	0.00019248
336	0.000190729
337	0.000188979
338	0.000187228
339	0.000185477
340	0.000183727
341	0.000181976
342	0.000180225
343	0.000178475
344	0.000176724
345	0.000174973
346	0.000173223
347	0.000171472
348	0.000169721
349	0.000167971
350	0.00016622
351	0.000164469
352	0.000162719
353	0.000160968
354	0.000159217
355	0.000157467
356	0.000155716
357	0.000153965
358	0.000152215
359	0.000150464
360	0.000148713
361	0.000146963
362	0.000145212
363	0.000143461
364	0.000141711
365	0.00013996
366	0.000138209
367	0.000136459
368	0.000134708
369	0.000132957
370	0.000131207
371	0.000129456
372	0.000127705
373	0.000125955
374	0.000124204
375	0.000122453
376	0.000120703
377	0.000118952
378	0.000117201
379	0.000115451
380     0.0001137
382.5   0.0001044
385     0.0000941
387.5   0.0000917
390     0.0000851
392.5   0.0000829
395     0.0000813
397.5   0.0000775
400     0.0000663
402.5   0.0000579
405     0.000053
407.5   0.0000503
410     0.0000473
412.5   0.0000452
415     0.0000444
417.5   0.0000442
420     0.0000454
422.5   0.0000474
425     0.0000478
427.5   0.0000482
430     0.0000495
432.5   0.0000504
435     0.000053
437.5   0.000058
440     0.0000635
442.5   0.0000696
445     0.0000751
447.5   0.000083
450     0.0000922
452.5   0.0000969
455     0.0000962
457.5   0.0000957
460     0.0000979
462.5   0.0001005
465     0.0001011
467.5   0.000102
470     0.000106
472.5   0.000109
475     0.000114
477.5   0.000121
480     0.000127
482.5   0.000131
485     0.000136
487.5   0.000144
490     0.00015
492.5   0.000162
495     0.000173
497.5   0.000191
500     0.000204
502.5   0.000228
505     0.000256
507.5   0.00028
510     0.000325
512.5   0.000372
515     0.000396
517.5   0.000399
520     0.000409
522.5   0.000416
525     0.000417
527.5   0.000428
530     0.000434
532.5   0.000447
535     0.000452
537.5   0.000466
540     0.000474
542.5   0.000489
545     0.000511
547.5   0.000537
550     0.000565
552.5   0.000593
555     0.000596
557.5   0.000606
560     0.000619
562.5   0.00064
565     0.000642
567.5   0.000672
570     0.000695
572.5   0.000733
575     0.000772
577.5   0.000836
580     0.000896
582.5   0.000989
585     0.0011
587.5   0.00122
590     0.001351
592.5   0.001516
595     0.001672
597.5   0.001925
600     0.002224
602.5   0.00247
605     0.002577
607.5   0.002629
610     0.002644
612.5   0.002665
615     0.002678
617.5   0.002707
620     0.002755
622.5   0.00281
625     0.002834
627.5   0.002904
630     0.002916
632.5   0.002995
635     0.003012
637.5   0.003077
640     0.003108
642.5   0.00322
645     0.00325
647.5   0.00335
650     0.0034
652.5   0.00358
655     0.00371
657.5   0.00393
660     0.0041
662.5   0.00424
665     0.00429
667.5   0.00436
670     0.00439
672.5   0.00448
675     0.00448
677.5   0.00461
680     0.00465
682.5   0.00478
685     0.00486
687.5   0.00502
690     0.00516
692.5   0.00538
695     0.00559
697.5   0.00592
700     0.00624
702.5   0.00663
705     0.00704
707.5   0.00756
710     0.00827
712.5   0.00914
715     0.01007
717.5   0.01119
720     0.01231
722.5   0.01356
725     0.01489
727.5   0.01678
